hello,안녕하세요
goodbye,안녕히 계세요
thank you,고맙습니다
you're welcome,천만에요
sorry,죄송합니다
excuse me,실례합니다
please,부탁드립니다
left,왼쪽
right,오른쪽
I/me,나는/나를
house,집
home,집
apartment,아파트
room,방
bedroom,침실
bed,침대
pillow,베개
blanket,담요
sleepy,졸린
sleep,잠을 자다
wake up,잠에서 깨다
clothes,옷
shirt,셔츠
shorts,반바지
pants,바지
jeans,청바지
socks,양말
dress,원피스
bathroom,욕실
sink,싱크대
faucet,수도꼭지
toothbrush,칫솔
toothpaste,치약
brush,브러시
floss,치실
soap,비누
deodorant,데오도런트
towel,수건
mirror,거울
bathtub,욕조
toilet,변기
shower,샤워기
curtain,커튼
shampoo,샴푸
conditioner,린스
kitchen,부엌
table,식탁
plate,접시
bowl,밥그릇
cup,컵
straw,빨대
fork,포크
spoon,숟가락
knife,나이프
napkin,냅킨
chair,의자
sit,앉다
cook,요리하다
oven,오븐
stove,가스레인지
microwave,전자레인지
fridge,냉장고
freezer,냉동고
ice,얼음
dishwasher,식기세척기
dish,그릇
pot,냄비
pan,후라이팬
counter,계산대
trash,쓰레기
trashcan,쓰레기통
tissue,"휴지, 티슈"
family room,거실
couch,소파
television,텔레비전
remote,리모콘
volume,음량
fireplace,벽난로
fire,불
clock,시계
time,시간
fan,"부채, 팬"
phone,전화기
call,"전화하다, 전화 통화"
painting,그림
door,문
handle,"손잡이, 다루다"
push,밀다
pull,당기다
doorway,현관
hallway,복도
light,전등
light switch,전등 스위치
thermostat,온도 조절 장치
air conditioner,에어컨
temperature,기온
hot,더운
cold,추운
heating,난방
cooling,냉방
vent,통풍구
window,창문
glass,유리
blinds,블라인드
shutters,셔터
floor,바닥
ceiling,천정
carpet,카페트
rug,깔개
laundry room,세탁실
washing machine,세탁기
dryer,건조기
clean,깨끗한
dirty,더러운
stain,얼룩
garage,차고
ladder,사다리
rope,밧줄
chain,사슬
car,자동차
truck,트럭
drive,운전하다
steering wheel,자동차 핸들
wheel,바퀴
blinker,방향 지시등
map,지도
keys,열쇠
wallet,지갑
license,면허증
shoes,신발
coat,외투
hat,모자
park,"주차하다, 공원"
driveway,진입로
lawn,잔디밭
yard,마당
fence,울타리
mail,우편
mailbox,우편함
wall,벽
stone,돌
brick,벽돌
concrete,콘크리트
dirt,흙
rock,바위
gravel,자갈
grass,풀
mow,잔디
bush,덤불
tree,나무
branch,나뭇가지
wood,목재
leaf,나뭇잎
flower,꽃
bee,벌
sprinkler,"스프링클러, 물뿌리개"
garden,정원
plant,식물
hose,호스
shovel,삽
rake,갈퀴
chimney,굴뚝
roof,지붕
sidewalk,인도
fire hydrant,소화전
road,도로
bridge,다리
street,거리
crosswalk,횡단보도
traffic light,신호등
stop sign,정지 표지
speed limit,제한 속도
sidewalk,인도
school,학교
student,학생
teacher,선생님
principal,교장선생님
class,반
classmate,반 친구
friend,친구
date,날짜
girlfriend,여자 친구
boyfriend,남자 친구
book,책
page,쪽
read,읽다
write,쓰다
notebook,공책
pencil,연필
pen,펜
eraser,지우개
scissors,가위
tape,테이프
glue,풀
marker,마커
paper,종이
word,단어
sentence,문장
desk,책상
homework,숙제
textbook,교과서
study,공부하다
test,시험
math,수학
literature,문학
history,역사
art,미술
paint,그리다
cafeteria,구내식당
gym,체육관
recess,쉬는 시간
exercise,운동
run,달리다
bike,자전거
jump,뛰다
sweat,땀
heart,심장
tired,피곤한
work,일하다
job,직업
salary,월급
park,"공원, 주차하다"
play,놀다
pool,수영장
swim,수영하다
hungry,배고픈
eat,먹다
food,음식
meat,고기
fish,물고기
vegetables,야채
fruit,과일
meal,식사
toaster,토스트기
blender,믹서기
thirsty,목마른
drink,"음료, 마시다"
water,물
milk,우유
juice,주스
tea,차
coffee,커피
soda,탄산음료
alcohol,술
bottle,병
can,캔
sick,아픈
medicine,약
vitamin,비타민
hospital,병원
doctor,의사
nurse,간호사
church,교회
Christian,기독교인
policeman,경찰
police station,경찰서
fireman,소방관
fire station,소방서
dentist,치과의사
assistant,"조수, 보조원"
cellphone,휴대폰
internet,인터넷
website,웹사이트
email,이메일
computer,컴퓨터
cord,코드
charger,충전기
mouse,"마우스, 쥐"
camera,카메라
headphones,헤드폰
laptop,노트북
electricity,전기
come,오다
go,가다
see,보다
look,보다
radio,라디오
music,음악
hear,듣다
sound,소리
watch,"지켜보다, 손목 시계"
video,비디오
picture,"그림, 사진"
dance,춤추다
animal,동물
pet,애완동물
dog,개
puppy,강아지
cat,고양이
kitten,아기 고양이
bird,새
mouse,쥐
squirrel,다람쥐
rabbit,토끼
bunny,토끼
bug,곤충
ground,땅
sky,하늘
cloud,구름
sun,해
day,낮
night,밤
morning,아침
afternoon,오후
evening,저녁
night,밤
dark,어두운
shadow,그림자
air,공기
weather,날씨
storm,폭풍
rain,비
wind,바람
snow,눈
blizzard,눈보라
lightning,번개
thunder,천둥
river,강
stream,냇물
glasses,안경
contacts,콘텍트렌즈
jewelry,장신구
earing,귀거리
makeup,화장품
bag,가방
purse,핸드백
sunglasses,선글라스
family,가족
parent,부모님
mom,엄마
woman,여자
dad,아빠
man,남자
sibling,형제자매
brother,남자형제
guy,"남자, 녀석, 사내"
sister,여자형제
girl,여자아이
baby,아기
younger,더 어린
older,더 나이 많은
uncle,숙부
aunt,숙모
grandparent,조부모님
grandfather,할아버지
grandmother,할머니
relative,친척
color,색상
red,빨강
orange,오렌지
yellow,노랑
green,초록
blue,파랑
purple,보라
white,흰색
grey,회색
black,검정색
brown,갈색
pink,분홍
Sunday,일요일
Monday,월요일
Tuesday,화요일
Wednesday,수요일
Thursday,목요일
Friday,금요일
Saturday,토요일
week,주
season,계절
spring,봄
summer,여름
beach,바닷가
sand,모래
ocean,바다
wave,파도
lake,호수
autumn,가을
winter,겨울
snow,눈
snowman,눈사람
airport,공항
pilot,"조종사, 파일럿"
plane,비행기
boat,배
farm,농장
farmer,농부
seed,씨앗
letter,편지
number,숫자
one,1
two,2
three,3
four,4
five,5
six,6
seven,7
eight,8
nine,9
ten,10
eleven,11
twelve,12
thirteen,13
fourteen,14
fifteen,15
sixteen,16
seventeen,17
eighteen,18
nineteen,19
twenty,20
thirty,30
forty,40
fifty,50
sixty,60
seventy,70
eighty,80
ninety,90
hundred,100
thousand,1000
million,백만
restaurant,식당
waiter,"웨이터, 종업원"
booth,"매점, 노점, 부스"
menu,메뉴
sale,판매
tip,팁
restroom,화장실
chef,요리사
manager,관리자
shop,"쇼핑하다, 상점"
store,상점
mall,쇼핑 몰
cashier,계산원
shopping cart,쇼핑 카트
cash register,금전 등록기
money,돈
dollar,달러
cent,센트
gas station,주유소
pump,펌프
gas,휘발유
credit card,신용카드
month,달
January,1월
February,2월
March,3월
April,4월
May,5월
June,6월
July,7월
August,8월
September,9월
October,10월
November,11월
December,12월
year,년
decade,10년
century,"100년, 세기"
millennium ,1000년
who,누구
what,무엇
when,언제
where,어디서
why,왜
how,어떻게
cow,소
beef,소고기
chicken,닭
egg,달걀
turkey,칠면조
pig,돼지
pork,돼지고기
sweet,달콤한
sour,신
salty,짠
bitter,쓴
savory,풍미 있는
groceries,식료품
delicious,맛있는
screw,나사
screwdriver,"나사 돌리개, 드라이버"
hammer,망치
nail,못
measure,측정하다
fix,"고치다, 수리하다"
break,"부수다, 휴식 시간"
click,"클릭하다, 찰칵 소리를 내다"
call,"부르다, 전화하다, 전화통화"
text,"문자를 보내다, 본문"
happy,행복한
